target,metric,n_full,n_red,med_full,med_red,succ49_full,succ49_red,succ23_full,succ23_red,p_fisher49,p_fisher23,p_ranktest,p_heterogeneity,verdict
8k3k_D,dockq,8,24,0.014,0.039,0,0,0,0,1.0,1.0,0.0002,1.0,✅ 얕은 쪽이 유의하게 높음
8k3k_D,overrep,8,24,0.794,0.263,8,4,8,14,0.0072,0.0699,0.0,1.0,✅ 얕은 쪽이 유의하게 높음
8k3k_D,recall,8,24,0.105,0.52,0,15,0,20,0.0003,0.0,0.0028,0.0013,✅ 얕은 쪽이 유의하게 높음
8k46_I,dockq,8,24,0.028,0.021,0,0,0,0,1.0,1.0,0.9257,1.0,✗ 차이 없음/반대
8k46_I,overrep,8,24,0.694,0.734,8,17,8,20,0.2111,0.5565,0.8469,1.0,✗ 차이 없음/반대
8k46_I,recall,8,24,0.159,0.114,0,6,2,8,0.1028,0.5118,0.9007,0.0309,✗ 차이 없음/반대
8k5g_HL,dockq,8,24,0.321,0.043,1,2,5,4,0.8532,0.9979,0.9852,0.1304,✗ 차이 없음/반대
8k5g_HL,overrep,8,24,0.703,0.514,7,18,8,24,1.0,1.0,0.1156,1.0,△ 방향은 맞으나 유의하지 않음
8k5g_HL,recall,8,24,0.44,0.362,4,3,7,21,0.9317,0.7045,0.7897,0.4941,✗ 차이 없음/반대
8k5h_HL,dockq,8,24,0.059,0.066,1,0,3,0,1.0,1.0,0.802,1.0,△ 방향은 맞으나 유의하지 않음
8k5h_HL,overrep,8,24,0.725,0.665,8,19,8,21,0.4081,0.4081,0.1288,1.0,△ 방향은 맞으나 유의하지 않음
8k5h_HL,recall,8,24,0.432,0.362,3,1,8,23,0.9818,1.0,0.9868,0.0003,✗ 차이 없음/반대
8kep_HL,dockq,8,24,0.087,0.028,0,0,0,0,1.0,1.0,0.9946,1.0,✗ 차이 없음/반대
8kep_HL,overrep,8,24,0.437,0.596,2,19,8,24,1.0,1.0,0.9993,1.0,✗ 차이 없음/반대
8kep_HL,recall,8,24,0.276,0.344,0,0,7,24,0.8532,0.25,0.0029,0.1304,✅ 얕은 쪽이 유의하게 높음
8q7s_C,dockq,8,24,0.107,0.167,0,0,0,4,1.0,0.2955,0.0018,1.0,✅ 얕은 쪽이 유의하게 높음
8q7s_C,overrep,8,24,0.873,0.782,8,17,8,19,0.1028,0.2111,0.0023,1.0,✅ 얕은 쪽이 유의하게 높음
8q7s_C,recall,8,24,0.875,0.765,8,24,8,24,1.0,1.0,0.9995,1.0,✗ 차이 없음/반대
8q7s_H,dockq,8,24,0.048,0.051,0,0,0,0,1.0,1.0,0.0808,1.0,△ 방향은 맞으나 유의하지 않음
8q7s_H,overrep,8,24,0.0,0.0,0,0,0,0,1.0,1.0,nan,0.0014,✗ 차이 없음/반대
8q7s_H,recall,8,24,0.438,0.452,0,3,8,24,1.0,1.0,0.5,1.0,△ 방향은 맞으나 유의하지 않음
8q7s_O,dockq,8,24,0.112,0.107,0,0,0,0,1.0,1.0,0.474,1.0,✗ 차이 없음/반대
8q7s_O,overrep,8,24,0.747,0.8,8,21,8,21,0.4081,1.0,0.9935,1.0,✗ 차이 없음/반대
8q7s_O,recall,8,24,0.736,0.74,8,24,8,24,1.0,1.0,0.6114,1.0,△ 방향은 맞으나 유의하지 않음
8siq_HL,dockq,8,24,0.13,0.08,0,0,0,0,1.0,1.0,0.9629,1.0,✗ 차이 없음/반대
8siq_HL,overrep,8,24,0.31,0.116,4,0,4,5,0.0086,0.4132,0.4049,1.0,✅ 얕은 쪽이 유의하게 높음
8siq_HL,recall,8,24,0.507,0.259,4,0,8,19,0.9979,1.0,0.999,0.0457,✗ 차이 없음/반대
8sis_HL,dockq,8,24,0.028,0.033,0,0,0,0,1.0,1.0,0.1154,1.0,△ 방향은 맞으나 유의하지 않음
8sis_HL,overrep,8,24,0.551,0.147,7,1,8,9,0.0006,0.012,0.0,1.0,✅ 얕은 쪽이 유의하게 높음
8sis_HL,recall,8,24,0.336,0.398,0,8,8,24,0.0695,1.0,0.0099,0.1116,✅ 얕은 쪽이 유의하게 높음
8sit_HL,dockq,8,24,0.033,0.056,0,0,0,0,1.0,1.0,0.0009,1.0,✅ 얕은 쪽이 유의하게 높음
8sit_HL,overrep,8,24,0.444,0.137,2,0,6,5,0.0002,0.0757,0.0108,1.0,✅ 얕은 쪽이 유의하게 높음
8sit_HL,recall,8,24,0.359,0.614,1,17,7,24,0.0049,0.25,0.0033,1.0,✅ 얕은 쪽이 유의하게 높음
8t4a_PR,dockq,8,24,0.023,0.033,0,0,0,0,1.0,1.0,0.0751,1.0,△ 방향은 맞으나 유의하지 않음
8t4a_PR,overrep,8,24,0.05,0.087,0,0,1,2,0.5919,0.7889,0.9921,0.7885,✗ 차이 없음/반대
8t4a_PR,recall,8,24,0.183,0.264,0,0,0,13,1.0,0.0072,0.0099,1.0,✅ 얕은 쪽이 유의하게 높음
8t4d_OQ,dockq,8,24,0.018,0.051,0,0,0,0,1.0,1.0,0.0037,1.0,✅ 얕은 쪽이 유의하게 높음
8t4d_OQ,overrep,8,24,0.02,0.135,0,0,0,4,1.0,1.0,0.9999,0.0151,✗ 차이 없음/반대
8t4d_OQ,recall,8,24,0.215,0.297,1,0,2,20,0.9435,0.0049,0.0079,1.0,✅ 얕은 쪽이 유의하게 높음
8tp5_HL,dockq,8,24,0.007,0.008,0,0,0,0,1.0,1.0,0.0891,1.0,△ 방향은 맞으나 유의하지 않음
8tp5_HL,overrep,8,24,0.057,0.22,0,3,2,11,0.9807,0.97,0.9868,1.0,✗ 차이 없음/반대
8tp5_HL,recall,8,24,0.208,0.301,0,8,3,14,0.0699,0.2699,0.095,0.0787,△ 방향은 맞으나 유의하지 않음
8u44_ST,dockq,8,24,0.058,0.039,0,0,0,0,1.0,1.0,0.9827,1.0,✗ 차이 없음/반대
8u44_ST,overrep,8,24,0.0,0.0,0,3,0,3,1.0,1.0,0.9396,0.5929,✗ 차이 없음/반대
8u44_ST,recall,8,24,0.582,0.494,7,12,7,19,0.9696,0.8515,0.9532,0.5286,✗ 차이 없음/반대
8ume_HL,dockq,8,24,0.026,0.028,0,0,0,4,1.0,0.2955,0.3638,1.0,△ 방향은 맞으나 유의하지 않음
8ume_HL,overrep,8,24,0.187,0.309,1,6,4,15,0.8464,0.8503,0.7682,1.0,✗ 차이 없음/반대
8ume_HL,recall,8,24,0.273,0.43,2,10,4,13,0.3425,0.5787,0.307,0.083,△ 방향은 맞으나 유의하지 않음
8xsi_HL,dockq,8,24,0.027,0.029,0,0,0,0,1.0,1.0,0.1235,1.0,△ 방향은 맞으나 유의하지 않음
8xsi_HL,overrep,8,24,0.786,0.706,8,14,8,18,0.0699,0.1485,0.0485,1.0,✅ 얕은 쪽이 유의하게 높음
8xsi_HL,recall,8,24,0.0,0.0,0,0,0,1,1.0,0.75,0.0257,1.0,✅ 얕은 쪽이 유의하게 높음
9azr_HL,dockq,8,24,0.166,0.111,0,0,2,0,1.0,1.0,0.9868,1.0,✗ 차이 없음/반대
9azr_HL,overrep,8,24,0.962,0.963,8,24,8,24,1.0,1.0,0.3079,1.0,✗ 차이 없음/반대
9azr_HL,recall,8,24,0.723,0.682,7,18,8,20,1.0,1.0,0.8887,0.6386,✗ 차이 없음/반대
9azt_HL,dockq,8,24,0.052,0.015,0,0,0,0,1.0,1.0,1.0,1.0,✗ 차이 없음/반대
9azt_HL,overrep,8,24,0.936,0.947,8,24,8,24,1.0,1.0,0.944,1.0,✗ 차이 없음/반대
9azt_HL,recall,8,24,0.417,0.2,2,0,8,8,1.0,1.0,0.9999,1.0,✗ 차이 없음/반대
9azv_HL,dockq,8,24,0.068,0.018,0,0,0,0,1.0,1.0,0.9808,1.0,✗ 차이 없음/반대
9azv_HL,overrep,8,24,0.966,0.943,8,24,8,24,1.0,1.0,0.002,1.0,✅ 얕은 쪽이 유의하게 높음
9azv_HL,recall,8,24,0.461,0.255,4,3,8,13,0.9979,1.0,0.9989,1.0,✗ 차이 없음/반대
9b7g_QP,dockq,8,24,0.156,0.107,0,0,1,2,1.0,0.8532,0.9678,1.0,✗ 차이 없음/반대
9b7g_QP,overrep,8,24,0.949,0.815,5,16,8,24,0.75,1.0,0.693,1.0,△ 방향은 맞으나 유의하지 않음
9b7g_QP,recall,8,24,0.793,0.74,8,24,8,24,1.0,1.0,0.9836,1.0,✗ 차이 없음/반대
9bdg_FI,dockq,8,24,0.046,0.066,0,0,0,0,1.0,1.0,0.293,1.0,△ 방향은 맞으나 유의하지 않음
9bdg_FI,overrep,8,24,1.0,1.0,7,22,8,24,0.75,1.0,0.5302,1.0,✗ 차이 없음/반대
9bdg_FI,recall,8,24,0.389,0.523,3,14,8,23,0.0418,1.0,0.1289,0.8554,✅ 얕은 쪽이 유의하게 높음
9kkj_HL,dockq,8,24,0.009,0.014,0,0,0,0,1.0,1.0,0.0626,1.0,△ 방향은 맞으나 유의하지 않음
9kkj_HL,recall,8,24,0.425,0.395,1,7,8,24,0.89,1.0,0.6362,0.083,✗ 차이 없음/반대
9ml9_HL,dockq,8,24,0.027,0.028,0,0,0,0,1.0,1.0,0.3883,1.0,△ 방향은 맞으나 유의하지 않음
9ml9_HL,overrep,8,24,0.464,0.438,2,7,8,24,0.5565,1.0,0.3396,1.0,△ 방향은 맞으나 유의하지 않음
9ml9_HL,recall,8,24,0.259,0.303,0,0,6,19,0.4081,0.5773,0.0448,0.3676,✅ 얕은 쪽이 유의하게 높음
9mqr_DE,dockq,8,24,0.052,0.008,0,0,0,0,1.0,1.0,0.9949,1.0,✗ 차이 없음/반대
9mqr_DE,recall,8,24,0.485,0.0,4,5,7,5,0.9993,1.0,0.9962,0.0028,✗ 차이 없음/반대
9w43_AB,dockq,8,24,0.023,0.023,0,0,0,0,1.0,1.0,0.448,1.0,✗ 차이 없음/반대
9w43_AB,recall,8,24,0.215,0.241,0,0,3,14,1.0,0.2699,0.4309,1.0,△ 방향은 맞으나 유의하지 않음
9y0a_AB,dockq,8,24,0.084,0.069,0,0,0,0,1.0,1.0,0.9723,1.0,✗ 차이 없음/반대
9y0a_AB,recall,8,24,0.208,0.216,1,0,4,10,1.0,0.7948,0.3006,1.0,△ 방향은 맞으나 유의하지 않음
9yc6_HL,dockq,8,24,0.029,0.038,0,0,0,0,1.0,1.0,0.1111,1.0,△ 방향은 맞으나 유의하지 않음
9yc6_HL,recall,8,24,0.27,0.298,0,0,8,18,0.9914,1.0,0.7216,1.0,△ 방향은 맞으나 유의하지 않음
9zdu_HL,dockq,8,24,0.233,0.223,0,0,6,10,1.0,0.9814,0.8254,1.0,✗ 차이 없음/반대
9zdu_HL,overrep,8,24,0.25,0.372,0,4,5,22,0.9997,0.9607,0.9963,1.0,✗ 차이 없음/반대
9zdu_HL,recall,8,24,0.453,0.427,3,6,8,23,0.9696,1.0,0.9277,0.0122,✗ 차이 없음/반대
